label	id	approved	datestart	dateend	name	shortname	hashtag	homepage	presentation form	onlinebanner	city	country	venue	OSM-Link	lat	lon	coclink	Self-description	cfpdate	cfplink	type	tags	EntranceFee	Registration	ParticipantsLastTime	Main language	Main Organiser	Specialties	First Edition	Main Sponsors	Edition’s Topic	Technologies in use	Online Interactivity	Technical Liberties	Timezone	Twitter	Mastodon	Telegram	Git*	Instagram	LinkedIn	Facebook	Youtube	Matrix	Mailinglist	cancelled	replacement	replaces	cancellation_description
FIfFKon			20221021	20221023	FIfFKon	FIfFKon	#FIfFKon	https://2022.fiffkon.de/	offline	/img/eventbanners/2022/2022-fiffkon.png	Berlin	DE	Archenhold Sternwarte	https://www.openstreetmap.org/relation/2309788	52.48585	13.47599		<p>Unser Ziel ist nichts weniger als Weltfrieden. Dieser Wunsch klingt so phantastisch und utopisch, weil die Vorstellung einer friedlichen Welt für viele Menschen in ungreifbarer Ferne steht.</p><p>Umso dringlicher stellt sich die Frage, wie ausgehend vom Hier und Jetzt der Weg hin zu einer friedlichen Welt gestaltet und gegangen werden kann. Welche Maßnahmen befördern dabei kurz-, mittel- und langfristig friedliche Gesellschaften?</p><p>Mit der FIfFKon entsteht in Berlin für drei Tage ein inspirierender Ort des Austauschs mit Vorträgen, Workshops und lebendiger Atmosphäre für gemeinsames Lernen, Diskutieren und Kontakt – mit Kulturprogramm, Lounges, Getränken und Musik bis in die Nacht.</p><p>Lasst uns tatsächlich mutig sein und mit dieser Konferenz dazu beitragen, eine neue, bessere Welt für alle Menschen zu erdenken, um sie dann zu bauen.</p>			Community Event	cyberpeace	64 Euro	https://pretix.eu/fiff/fiffkon22/	200	DE	Forum InformatikerInnen für Frieden und gesellschaftliche Verantwortung e. V.	Weizenbaum Award	?		> make install PEACE - Impulse für den Frieden				UTC+2	https://twitter.com/FIfF_de													
NorthernRST			20191206	20191206				https://northernrst.com/			Aberdeen	GB													?																								
GNU Health Con			20221117	20221118	GNU Health Con 2022	GHCon2022	#GHCon2022	https://www.gnuhealthcon.org/2022/		/img/eventbanners/2022/2022-ghcon.png	Las Palmas	ES					https://www.gnuhealthcon.org/2022/code-of-conduct.html	<p>The GNU Health Conference (GHCon) is an annual conference that brings together enthusiasts and developers of the Libre Health & Hospital Information System.</p><p>During the two-day conference, you’ll have the opportunity to attend different thematic sessions and free workshops, share experiences, learn about and discuss implementation cases and, of course, network with GNU Health community members from around the world!</p><p>Day 1 (Thursday): XIV International Workshop on eHealth in Emerging Economies (IWEEE). IWEEE is about Social Medicine and trying to improve the lives of the underpriviled, and the workshops will provide the opportunities for open discussions, networking, and sharing of experiences from different organizations around the World.</p><p>Day 2 (Friday): GNU Health. In the conference's thematic talks, we’ll present and discuss, among other things, upcoming features, standards, security, mobile applications, and implementation cases. Afterwards, in the evening, we'll announce and honor the winners of the GNU Health Social Medicine awards.</p><p>We are counting on you and on your active participation to get the most out of the conference. Most importantly, we want you to have fun, feel at home, and enjoy being part of the GNU Health community!</p><p>Looking forward to meeting you!</p>	20221006	https://www.gnuhealthcon.org/2022/contact.html	Community Event	Gnu,Health,Hospitation	Zero	https://my.gnusolidario.org/ghcon2022-registration/	?	EN	GNUSolidario		"<a href=""http://www.iweee.org/2010/es/"">2010</a>"	THYMBRA HEALTHCARE, openSUSE, KONTENT WEBHOSTING																			
36th Chaos Communication Conference			20201227	20201230	36th Chaos Communication Conference			https://events.ccc.de/congress/2019/wiki/index.php			Leipzig	DE													?																								
Paris Open Source Summit			20191210	20191211	Paris Open Source Summit	POSS		https://www.opensourcesummit.paris/			Paris	FR																																					
Open Source and Linux Day			20201022	20201022	Open Source and Linux Day Villach			https://services.htl-villach.at/linuxday/			Villach	AT					nococ	<p>Neben dem geplanten Rahmenprogramm, wie zum Beispiel der Preisverleihung zur 1. Villacher Hacking-Challenge, wollen wir einen diesen Tag mit Vorträgen und Workshops für alle Teilnehmer zu einem besonderen Erlebnis werden lassen.</p><p><a href=“https://osslinuxday.htl-villach.at/“>source</a></p>			Community Event		?	?	?	DE																							
DjangoCon Europe			20210602	20210606	DjangoCon Europe			https://2021.djangocon.eu/			Porto	PT	Super Bock Arena	https://www.openstreetmap.org/way/35341148	41.1468	-8.6259	https://2020.djangocon.eu/conduct/code_of_conduct/	<p>More info soon</p>			Project Event	Django	Zero	?	?	EN	evolutio			Zego, blackfire.io,Vonage			To be defined.	To be defined.	UTC+1	https://twitter.com/djangoconeurope													
eLife Innovation Sprint			20200902	20200903	eLife Innovation Sprint 2020	eLife Sprint	#eLife Sprint	https://sprint.elifesciences.org/	online		Cambridge	UK	The Cambridge Junction	https://www.openstreetmap.org/way/28629451	52.19074	0.13583	https://elifesci.org/SprintCoC	A collaborative hackathon where we bring together talents in UX, software and web development, data science, product, policy, community management and research to develop open tech prototypes to help redefine the ways we share and do research.	20200524	https://sprint.elifesciences.org/	Hackmeeting	Open technology,Open Science,	Zero	yes – Call for project (apply to lead a project) open until April 13; application for project contributors will open April 27 to May 24.	60	EN	Emmy Tsang (innovation@elifesciences.org)		?				To be defined.	To be defined.	UTC+1														
DiVOC			20220415	20220418	Digital verteiltes Online Chaos	DiVOC	#DiVOC	https://di.c3voc.de/start	online	/img/eventbanners/2022/2022-DiVOC.svg								<p>Die Blasen und Echokammern, in denen wir uns alle bewegen, scheinen in der Pandemie noch enger und undurchlässiger geworden zu sein. Wir möchten uns austauschen, und die Blasen miteinander verschmelzen lassen. Das DiVOC muss zwar zum dritten Mal das Easterhegg ersetzen, aber dieses Mal (hoffen wir) läßt die Situation zumindest kleinere Gruppen zu, die gemeinsam etwas vor Ort machen können. Also nutzen wir die Chance, die lokalen Blasen weltweit zu vernetzen. Hack the new normal!</p>			Community Event	CCC,Online	Zero	no		DE	Chaos Computer Club	"<p>tl;dr Ein hybrides Event: Online und in euren Spaces. Macht schräge Sachen, um Menschen aus ihren Bubbles rauszuholen und zusammen zu bringen. Bringt euch ein im Wiki und IRC #divoc-bb3, um das zu planen. Vom 15.-18.4.2022.</p>
<p>tl;dr A hybrid event: online and in your hackspaces. Do weird things to coax people out of their bubbles and to connect them with others. Contribute on the Wiki and IRC #divoc-bb3, to help plan this. From 15.-18. April 2022.</p>"	2020	No Sponsors	Bridging Bubbles				UTC+1	https://media.ccc.de/	https://chaos.social/@dic3voc												
WirVsVirus			20200320	20200322	WirVsVirus – Der Hackathon der Bundesregierung	WirVsVirus	#WirVsVirus	https://wirvsvirushackathon.org/?lang=en	online			DE						<p>48 hours. Challenges identified by the German federal government and society. You and possibly 80 million other people. The Covid-19 crisis. A wide variety of solutions.</p><p>Contribute your skills as we develop solutions from society for society.</p>	20200319	https://wirvsvirushackathon.org/mitmachen/	Hackathon	Corona,Covid-19,WirVsVirus	Zero	yes	First time edition	DE	German Government	All projects have to be published as FOSS.	2020																				
VenceAlVirus			20200404	20200405	VenceAlVirus – Una respuesta al COVID-19	VenceAlVirus	#VenceAlVirus	https://vencealvirus.org/	online		Madrid	ES		https://www.openstreetmap.org/relation/5326784	40.4119	-3.6972	https://conducta.vencealvirus.org/	<p>Nos enfrentamos a la crisis del Covid-19 confinados en nuestros hogares, pero con una herramienta poderosa en nuestras manos: la interconexión. Hemos organizado el hackathon virtual #VenceAlVirus porque queremos involucrar a toda la inteligencia colectiva de la Comunidad de Madrid en esta causa. Ante la situación crítica que vivimos, buscamos sumar diferentes capacidades para generar dinámicas que ayuden a reforzar el sistema inmunitario social y ser, en definitiva, un revulsivo y una luz en este momento tan duro para muchas personas. Como gran puesta en común, #VenceAlVirus quiere articular soluciones prácticas para el ahora y también para el después. Ponemos este motor en marcha para que los ciudadanos, universitarios, investigadores, innovadores y la sociedad en general que se sumen a la convocatoria puedan trabajar juntos en tiempo real, con un esquema organizado de filtro y definición de las propuestas.</p>	20200331	https://taiga.vencealvirus.software.imdea.org/discover/search?order_by=-total_fans_last_week	Hackathon	Covid-19	Zero	yes	First time edition	ES	Comunidad de Madrid	The event is organized with the help of FOSS. Candidates get a selection bonus if they use FOSS licenses for theit project.	2020		Una respuesta al Covid-19																		
foss-north 2020 take II			20201101	20201104	foss-north 2020 take II	Foss-north	#Foss-north	https://foss-north.se/2020/		/img/eventbanners/2020/2020-foss-north.png	Gothenburg	SE	Chalmers Conference Centre	https://www.openstreetmap.org/node/6390774037	57.68926	11.97372	https://foss-north.se/2019/coc.html	foss-north is a free / open source conference covering both software and hardware from the technical perspective. Hosted in Gothenburg between Copenhagen, Oslo, and Stockholm, with an international airport, we provide a meeting place for the Nordic foss communities and will bring together great speakers with a great audience.	20200209	https://foss-north.se/2020/contribute.html#papers	Community Event	floss,foss	yes	yes	250	EN																							
Art Meets Radical Openness			20220615	20220618	Art Meets Radical Openness DEBUG	AMRO22	#AMRO22	https://www.radical-openness.org/en		/img/eventbanners/2022/2022-radical-openess.png	Linz	AT	architekturforum oö	https://www.openstreetmap.org/?mlat=48.30566&mlon=14.28876#map=17/48.30566/14.28876	48.30566	14.28876		"<p>Festival dedicated to Art, Hacktivism and Open Culture</p><p>“Art Meets Radical Openness” brings together local and international artists, activists, developers, researchers and hacktivists involved with the culture of sharing and communal production. They are catalysts that spark new discourses and open up new directions of thinking. Free Open Source Software, open tools in general and the use of free licenses are the precondition and basis for the digital practice of a community like this, which impels social transformation. This tangible transformation goes beyond a digital practice and also changes our real life.</p><p>AMRO has its roots in the successful Free Software movement of the early 2000s. In conjunction with the Austrian-wide initiative Linux Weeks, servus.at was a co-organizer from the beginning with an event in Linz (LiWoLi – “Linux Weeks Linz”). The cultural, artistic and socio-political focus of the association, which is still marked by the spirit of the Free Software movement, has been systematically expanded with a new cooperation partner. The Kunstuniversität Linz with the Department “Time-Based Media” supports the successful event since 2008. Social, societal and political aspects arising from the pervasion of technology in everyday life were shifted into the foreground.</p><p>The Principles of openness and freedom - applied to art and culture - led to the new Title for the event: Art Meets Radical Openness. When art meets radical openness, this suggests a paradox. For what is generally considered contemporary art is rarely ""radically open"" in the sense that their authors consciously use sources, processes and content to further processing, as is the case with F/LOSS projects (Free/libre Open Source software) is common. What can be successful in the development of free software, however, represents a challenge for us in dealing with information. Which information is meaningful and should be made available to whom in what form?</p><p>Since 2014 AMRO has been held successfully on a biennial basis.</p>"	20220412	https://www.radical-openness.org/en	Festival	Art	?	?	?	DE	servus.at		2014		DEBUG				UTC+2														
FrOSCon	1668716666	yes	20230805	20230806	Free and Open Source Software Conference	FrOSCon	#FrOSCon	https://www.froscon.de/ 	offline	/img/eventbanners/2021/2021-froscon.png 	Sankt Augustin	DE	Hochschule Bonn-Rhein-Sieg	https://www.openstreetmap.org/way/517952782	50.78021	7.18233	nococ	<p>Freie Software und Open Source - das sind die Themen der FrOSCon. Jedes Jahr im Spätsommer veranstaltet der Fachbereich Informatik der Hochschule Bonn-Rhein-Sieg mit Hilfe des FrOSCon e.V. ein spannendes Programm mit Vorträgen und Workshops für Besucher aller Altersklassen, die Freie Software nutzen, kennenlernen wollen oder selbst entwickeln. Eine Ausstellung mit Ständen von Open-Source Projekten und Firmen rundet das Angebot ab. Beim Social Event am Samstagabend können sich Besucher, Vortragende und HelferInnen austauschen und zusammen feiern.</p><p>Free Software and Open Source - these are the topics of FrOSCon (Free and Open Source Software Conference). Every year in August the computer science department of the University of Applied Sciences Bonn-Rhein-Sieg, supported by FrOSCon e.V., will organize an exciting program with talks and workshops for visitors of all ages. The event is topped off with a fair of booths from FLOSS projects and companies. The social event, celebrated at Saturday night, offers the opportunity to exchange opinions with other visitors, speakers or volunteers.</p>		https://www.froscon.de/cfp/	Community Event		Zero	?	?	DE	FrOSCon e.V.		2006						UTC+2	https://twitter.com/froscon	https://bonn.social/@FrOSCon							#froscon:matrix.org	https://www.froscon.de/info/				
